studid,classid,schoolid,date,academic,FinalProfitRounded,delta,beta,delta_now,pb,beta_0,dictator,dictator_schoolmate,dictator_difference,risk,publicgood,trust,trust_return,comp,SPiecerate,STournament,ST_SP,STournamentChoosed,SPiecerateChoosed,RankP,RankT,froze,time_delta_now,time_delta,time_beta,time_risk,time_dictator,time_dictator_schoolmate,time_trust,time_trust_return,time_publicgood,time_comp,time_beta_0,time_pb,time_dictator_difference,time_total,math,read,female,male,age,gpa_m,gpa_i,chsup_d1,chsup_d2,chsup_d0,pared_d1,pared_d2,pared_d3,pared_d0,fjob1,fjob2,fjob3,fjob4,fjob5,fjob6,fjob7,fjob8,fjob9,books1,books2,books3,books4,books5,books6,books7,books8,grade_math,grade_hun,grade_lit,grade_math_m,grade_hun_m,grade_lit_m
1,13,2,200302_0905,academic track,0,.69930071,1.1721312,.81967211,0,.17213118,50,50,0,45,75,80,28.95635,1,11,11,0,11,,3,4,0,17,15,32,81,31,7,64,108,75,33,32,32,38,665,,,,,,1,4.5255127,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4.225564,4.3526883,4.5313177,1,1,1
2,12,2,190318_1206,academic track,1000,.62111801,1,.62111801,0,0,0,10,-10,49,50,30,29.093916,1,5,9,4,8,,3,1,0,21,35,56,76,59,41,38,133,102,37,56,56,100,784,,,,,,1,4.5255127,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4.225564,4.3526883,4.5313177,1,1,1
3,20,3,200224_0748,academic track,1200,.5780347,1.1233766,.64935064,0,.12337661,50,25,25,11,50,30,16.666668,0,4,7,3,,8,3,3,0,77,111,188,73,116,34,96,262,118,189,188,188,150,1379,-1.2482339,-1.9326221,male,male,183,0,4.4000001,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,4,4,0,0,0
4,13,2,200302_0905,academic track,900,.86206895,1.0357143,.89285713,0,.035714269,0,0,0,45,60,50,0,0,9,7,-2,,7,2,3,0,53,74,127,56,113,36,98,98,112,126,127,127,149,966,.82969415,.6193732,male,male,186,1,4.5255127,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4.225564,4.3526883,4.5313177,1,1,1
5,12,2,190318_1206,academic track,1500,.89285713,1.0873786,.97087377,0,.087378621,50,25,25,25,100,50,27.976191,1,13,16,3,15,,2,2,0,19,20,39,66,71,23,41,210,32,130,39,39,94,890,1.6584423,1.5817468,female,female,187,0,5,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,5,5,0,0,0
6,8,2,200302_1001,academic track,1500,.94339621,1,.94339621,0,0,50,0,50,40,100,80,19.537037,1,19,25,6,22,,1,1,0,15,11,26,34,34,29,58,79,52,94,26,26,63,662,1.6584423,1.5817468,female,female,199,0,5,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,5,5,0,0,0
7,48,8,191205_0944,academic track,1000,.81967211,.97600001,.80000001,1,.023999989,50,50,0,33,100,50,50,0,6,10,4,,10,3,2,1,30,38,68,68,25,19,35,87,61,63,68,68,44,678,1.0447443,.3604123,male,male,222,0,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5,5,5,0,0,0
8,6,2,190318_1014,academic track,1200,.59171599,1.280303,.75757575,0,.280303,50,20,30,13,50,60,28.683863,1,7,10,3,8,,3,2,0,55,61,116,74,38,33,99,288,80,99,116,116,71,1030,-.07685037,-.11579431,female,female,199,0,5,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,5,5,0,0,0
9,44,7,190429_0829,vocational track,3600,.75757575,.76300579,.5780347,1,.23699421,30,25,5,23,50,30,33.333336,1,8,9,1,9,,2,2,0,53,28,81,63,30,25,47,92,55,86,81,81,55,738,-.80968767,-1.8063054,male,male,200,0,4,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,4,4,0,0,0
10,41,7,190429_1143,academic track,1400,.49504951,1.530303,.75757575,0,.530303,50,0,50,20,50,40,13.58664,0,5,3,-2,,5,3,3,0,38,39,77,86,35,27,42,105,61,49,77,77,62,735,-1.0591898,-1.3169743,male,male,202,0,3.9000001,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,4,0,0,0
