"";"Var.1";"X1..N.266.";"X2..N.461.";"X3..N.308.";"Total..N.1035.";"p.value"
"1";"**delta**";"";"";"";"";"< 0.001"
"2";"&nbsp;&nbsp;&nbsp;Mean (SD)";"0.784 (0.139)";"0.663 (0.133)";"0.836 (0.125)";"0.746 (0.153)";""
"3";"&nbsp;&nbsp;&nbsp;Range";"0.333 - 0.971";"0.333 - 0.971";"0.485 - 0.971";"0.333 - 0.971";""
"4";"**beta**";"";"";"";"";"< 0.001"
"5";"&nbsp;&nbsp;&nbsp;Mean (SD)";"0.960 (0.190)";"1.116 (0.246)";"0.964 (0.154)";"1.031 (0.222)";""
"6";"&nbsp;&nbsp;&nbsp;Range";"0.353 - 1.858";"0.630 - 2.913";"0.343 - 1.689";"0.343 - 2.913";""
"7";"**dictator**";"";"";"";"";"< 0.001"
"8";"&nbsp;&nbsp;&nbsp;Mean (SD)";"21.050 (16.989)";"46.368 (10.436)";"43.992 (17.809)";"39.154 (18.196)";""
"9";"&nbsp;&nbsp;&nbsp;Range";"0.000 - 50.000";"0.000 - 100.000";"0.000 - 100.000";"0.000 - 100.000";""
"10";"**dictator_schoolmate**";"";"";"";"";"< 0.001"
"11";"&nbsp;&nbsp;&nbsp;Mean (SD)";"11.402 (12.826)";"33.934 (16.569)";"31.510 (22.806)";"27.422 (20.215)";""
"12";"&nbsp;&nbsp;&nbsp;Range";"0.000 - 50.000";"0.000 - 100.000";"0.000 - 100.000";"0.000 - 100.000";""
"13";"**risk**";"";"";"";"";"< 0.001"
"14";"&nbsp;&nbsp;&nbsp;Mean (SD)";"36.673 (17.816)";"24.499 (13.241)";"44.731 (18.858)";"33.648 (18.471)";""
"15";"&nbsp;&nbsp;&nbsp;Range";"1.000 - 99.000";"1.000 - 65.000";"1.000 - 99.000";"1.000 - 99.000";""
"16";"**publicgood**";"";"";"";"";"< 0.001"
"17";"&nbsp;&nbsp;&nbsp;Mean (SD)";"43.331 (27.599)";"55.462 (20.678)";"82.986 (21.670)";"60.535 (27.615)";""
"18";"&nbsp;&nbsp;&nbsp;Range";"0.000 - 100.000";"0.000 - 100.000";"0.000 - 100.000";"0.000 - 100.000";""
"19";"**trust**";"";"";"";"";"< 0.001"
