"";"Var.1";"X1..N.145.";"X2..N.387.";"X3..N.157.";"X4..N.156.";"X5..N.190.";"Total..N.1035.";"p.value"
"1";"**delta**";"";"";"";"";"";"";"< 0.001"
"2";"&nbsp;&nbsp;&nbsp;Mean (SD)";"0.776 (0.138)";"0.769 (0.120)";"0.823 (0.141)";"0.811 (0.133)";"0.559 (0.086)";"0.746 (0.153)";""
"3";"&nbsp;&nbsp;&nbsp;Range";"0.333 - 0.971";"0.465 - 0.971";"0.485 - 0.971";"0.465 - 0.971";"0.333 - 0.735";"0.333 - 0.971";""
"4";"**beta**";"";"";"";"";"";"";"< 0.001"
"5";"&nbsp;&nbsp;&nbsp;Mean (SD)";"0.979 (0.145)";"0.960 (0.148)";"0.960 (0.166)";"0.981 (0.135)";"1.312 (0.269)";"1.031 (0.222)";""
"6";"&nbsp;&nbsp;&nbsp;Range";"0.534 - 1.277";"0.343 - 1.252";"0.343 - 1.304";"0.417 - 1.304";"0.919 - 2.913";"0.343 - 2.913";""
"7";"**dictator**";"";"";"";"";"";"";"< 0.001"
"8";"&nbsp;&nbsp;&nbsp;Mean (SD)";"14.578 (13.449)";"46.050 (9.851)";"27.781 (19.567)";"52.657 (13.250)";"42.176 (13.692)";"39.154 (18.196)";""
"9";"&nbsp;&nbsp;&nbsp;Range";"0.000 - 50.000";"5.000 - 100.000";"0.000 - 75.000";"0.000 - 100.000";"0.000 - 75.000";"0.000 - 100.000";""
"10";"**dictator_schoolmate**";"";"";"";"";"";"";"< 0.001"
"11";"&nbsp;&nbsp;&nbsp;Mean (SD)";"9.735 (12.378)";"30.874 (15.492)";"9.882 (13.017)";"50.381 (16.527)";"29.529 (17.472)";"27.422 (20.215)";""
"12";"&nbsp;&nbsp;&nbsp;Range";"0.000 - 50.000";"0.000 - 100.000";"0.000 - 50.000";"0.000 - 100.000";"0.000 - 100.000";"0.000 - 100.000";""
"13";"**risk**";"";"";"";"";"";"";"< 0.001"
"14";"&nbsp;&nbsp;&nbsp;Mean (SD)";"35.628 (16.762)";"26.891 (13.939)";"48.439 (19.043)";"40.455 (20.117)";"28.089 (16.642)";"33.648 (18.471)";""
"15";"&nbsp;&nbsp;&nbsp;Range";"1.000 - 80.000";"1.000 - 80.000";"1.000 - 99.000";"1.000 - 99.000";"1.000 - 90.000";"1.000 - 99.000";""
"16";"**publicgood**";"";"";"";"";"";"";"< 0.001"
"17";"&nbsp;&nbsp;&nbsp;Mean (SD)";"34.573 (24.303)";"51.507 (20.142)";"86.001 (20.245)";"84.806 (20.544)";"57.768 (22.193)";"60.535 (27.615)";""
"18";"&nbsp;&nbsp;&nbsp;Range";"0.000 - 100.000";"0.000 - 100.000";"0.000 - 100.000";"5.000 - 100.000";"0.000 - 100.000";"0.000 - 100.000";""
"19";"**trust**";"";"";"";"";"";"";"< 0.001"
"20";"&nbsp;&nbsp;&nbsp;Mean (SD)";"29.241 (18.562)";"48.915 (15.400)";"76.497 (23.530)";"81.474 (19.603)";"48.789 (18.690)";"55.227 (25.127)";""
"21";"&nbsp;&nbsp;&nbsp;Range";"0.000 - 80.000";"0.000 - 100.000";"20.000 - 100.000";"30.000 - 100.000";"0.000 - 100.000";"0.000 - 100.000";""
"22";"**trust_return**";"";"";"";"";"";"";"< 0.001"
"23";"&nbsp;&nbsp;&nbsp;Mean (SD)";"23.156 (14.883)";"39.138 (11.522)";"38.664 (16.809)";"51.206 (16.631)";"38.453 (12.806)";"38.520 (15.874)";""
"24";"&nbsp;&nbsp;&nbsp;Range";"0.000 - 66.667";"8.258 - 84.563";"0.000 - 100.000";"5.000 - 100.000";"12.377 - 95.450";"0.000 - 100.000";""
"25";"**comp**";"";"";"";"";"";"";"0.218"
"26";"&nbsp;&nbsp;&nbsp;Mean (SD)";"0.593 (0.493)";"0.602 (0.490)";"0.701 (0.459)";"0.615 (0.488)";"0.595 (0.492)";"0.616 (0.486)";""
"27";"&nbsp;&nbsp;&nbsp;Range";"0.000 - 1.000";"0.000 - 1.000";"0.000 - 1.000";"0.000 - 1.000";"0.000 - 1.000";"0.000 - 1.000";""
"28";"**pca_socpref_interact**";"";"";"";"";"";"";"< 0.001"
"29";"&nbsp;&nbsp;&nbsp;Mean (SD)";"-1.173 (0.799)";"-0.320 (0.608)";"0.967 (0.739)";"0.999 (0.717)";"-0.111 (0.691)";"-0.007 (1.000)";""
"30";"&nbsp;&nbsp;&nbsp;Range";"-3.029 - 0.626";"-2.059 - 1.715";"-0.979 - 3.270";"-0.729 - 3.177";"-1.858 - 1.996";"-3.029 - 3.270";""
"31";"**pca_timepref**";"";"";"";"";"";"";"< 0.001"
"32";"&nbsp;&nbsp;&nbsp;Mean (SD)";"0.292 (0.709)";"0.341 (0.587)";"0.384 (0.757)";"0.365 (0.673)";"-1.455 (0.883)";"0.015 (0.991)";""
"33";"&nbsp;&nbsp;&nbsp;Range";"-1.337 - 2.272";"-0.590 - 2.858";"-1.696 - 2.785";"-1.098 - 1.863";"-6.848 - -0.438";"-6.848 - 2.858";""
"34";"**pca_socpref_nointeract**";"";"";"";"";"";"";"< 0.001"
"35";"&nbsp;&nbsp;&nbsp;Mean (SD)";"-1.100 (0.649)";"0.344 (0.617)";"-0.967 (0.706)";"0.970 (0.744)";"0.117 (0.819)";"-0.005 (0.991)";""
"36";"&nbsp;&nbsp;&nbsp;Range";"-2.450 - 0.486";"-1.203 - 3.531";"-2.339 - 0.649";"-0.587 - 3.864";"-2.325 - 2.398";"-2.450 - 3.864";""
"37";"**pca_riskpref**";"";"";"";"";"";"";"< 0.001"
"38";"&nbsp;&nbsp;&nbsp;Mean (SD)";"0.107 (0.905)";"-0.387 (0.782)";"0.712 (1.036)";"0.367 (1.082)";"-0.171 (0.917)";"0.002 (0.997)";""
"39";"&nbsp;&nbsp;&nbsp;Range";"-2.041 - 2.830";"-2.284 - 2.485";"-1.876 - 4.153";"-1.967 - 3.450";"-2.835 - 2.555";"-2.835 - 4.153";""
"40";"**gpa_i**";"";"";"";"";"";"";"< 0.001"
"41";"&nbsp;&nbsp;&nbsp;Mean (SD)";"4.603 (0.415)";"4.502 (0.452)";"4.591 (0.376)";"4.586 (0.376)";"4.422 (0.466)";"4.528 (0.432)";""
