"";"Var.1";"X1..N.367.";"X2..N.161.";"X3..N.176.";"X4..N.188.";"X5..N.143.";"Total..N.1035.";"p.value"
"1";"**delta**";"";"";"";"";"";"";"< 0.001"
"2";"&nbsp;&nbsp;&nbsp;Mean (SD)";"0.703 (0.123)";"0.790 (0.139)";"0.881 (0.092)";"0.804 (0.134)";"0.566 (0.088)";"0.746 (0.153)";""
"3";"&nbsp;&nbsp;&nbsp;Range";"0.333 - 0.971";"0.333 - 0.971";"0.529 - 0.971";"0.333 - 0.971";"0.333 - 0.758";"0.333 - 0.971";""
"4";"**beta**";"";"";"";"";"";"";"< 0.001"
"5";"&nbsp;&nbsp;&nbsp;Mean (SD)";"0.984 (0.149)";"0.954 (0.154)";"0.966 (0.141)";"0.972 (0.143)";"1.393 (0.262)";"1.031 (0.222)";""
"6";"&nbsp;&nbsp;&nbsp;Range";"0.463 - 1.280";"0.387 - 1.277";"0.343 - 1.214";"0.417 - 1.304";"1.000 - 2.913";"0.343 - 2.913";""
"7";"**dictator**";"";"";"";"";"";"";"< 0.001"
"8";"&nbsp;&nbsp;&nbsp;Mean (SD)";"46.319 (9.718)";"13.076 (13.766)";"35.795 (16.273)";"50.238 (15.394)";"39.692 (15.325)";"39.154 (18.196)";""
"9";"&nbsp;&nbsp;&nbsp;Range";"5.000 - 100.000";"0.000 - 50.000";"0.000 - 51.450";"0.000 - 100.000";"0.000 - 75.000";"0.000 - 100.000";""
"10";"**dictator_schoolmate**";"";"";"";"";"";"";"< 0.001"
"11";"&nbsp;&nbsp;&nbsp;Mean (SD)";"29.644 (15.605)";"7.098 (10.717)";"19.726 (16.287)";"47.019 (19.053)";"28.308 (18.702)";"27.422 (20.215)";""
"12";"&nbsp;&nbsp;&nbsp;Range";"0.000 - 50.000";"0.000 - 50.000";"0.000 - 50.000";"0.000 - 100.000";"0.000 - 100.000";"0.000 - 100.000";""
"13";"**risk**";"";"";"";"";"";"";"< 0.001"
"14";"&nbsp;&nbsp;&nbsp;Mean (SD)";"24.613 (13.523)";"41.820 (18.378)";"36.301 (15.599)";"43.197 (20.816)";"31.818 (18.508)";"33.648 (18.471)";""
"15";"&nbsp;&nbsp;&nbsp;Range";"1.000 - 84.000";"1.000 - 99.000";"1.000 - 99.000";"1.000 - 99.000";"1.000 - 90.000";"1.000 - 99.000";""
"16";"**publicgood**";"";"";"";"";"";"";"< 0.001"
"17";"&nbsp;&nbsp;&nbsp;Mean (SD)";"51.082 (20.399)";"46.079 (31.381)";"67.373 (27.850)";"84.453 (20.823)";"61.213 (23.671)";"60.535 (27.615)";""
"18";"&nbsp;&nbsp;&nbsp;Range";"0.000 - 100.000";"0.000 - 100.000";"0.000 - 100.000";"5.000 - 100.000";"0.000 - 100.000";"0.000 - 100.000";""
"19";"**trust**";"";"";"";"";"";"";"< 0.001"
"20";"&nbsp;&nbsp;&nbsp;Mean (SD)";"46.322 (15.251)";"34.845 (23.214)";"68.693 (22.348)";"81.117 (20.062)";"50.420 (20.824)";"55.227 (25.127)";""
"21";"&nbsp;&nbsp;&nbsp;Range";"0.000 - 100.000";"0.000 - 100.000";"20.000 - 100.000";"30.000 - 100.000";"0.000 - 100.000";"0.000 - 100.000";""
"22";"**trust_return**";"";"";"";"";"";"";"< 0.001"
"23";"&nbsp;&nbsp;&nbsp;Mean (SD)";"36.203 (11.324)";"24.791 (15.775)";"41.294 (13.529)";"51.530 (16.653)";"39.407 (13.086)";"38.520 (15.874)";""
"24";"&nbsp;&nbsp;&nbsp;Range";"3.333 - 79.210";"0.000 - 66.667";"0.000 - 84.563";"5.000 - 100.000";"13.587 - 95.450";"0.000 - 100.000";""
"25";"**comp**";"";"";"";"";"";"";"0.907"
"26";"&nbsp;&nbsp;&nbsp;Mean (SD)";"0.608 (0.489)";"0.621 (0.487)";"0.648 (0.479)";"0.612 (0.489)";"0.601 (0.491)";"0.616 (0.486)";""
"27";"&nbsp;&nbsp;&nbsp;Range";"0.000 - 1.000";"0.000 - 1.000";"0.000 - 1.000";"0.000 - 1.000";"0.000 - 1.000";"0.000 - 1.000";""
"28";"**pca_socpref_interact**";"";"";"";"";"";"";"< 0.001"
"29";"&nbsp;&nbsp;&nbsp;Mean (SD)";"-0.423 (0.619)";"-0.804 (1.037)";"0.468 (0.830)";"1.013 (0.807)";"0.031 (0.740)";"-0.007 (1.000)";""
"30";"&nbsp;&nbsp;&nbsp;Range";"-2.525 - 1.358";"-3.029 - 1.494";"-1.654 - 2.610";"-1.925 - 3.270";"-2.078 - 1.996";"-3.029 - 3.270";""
"31";"**pca_timepref**";"";"";"";"";"";"";"< 0.001"
"32";"&nbsp;&nbsp;&nbsp;Mean (SD)";"0.023 (0.621)";"0.371 (0.722)";"0.677 (0.582)";"0.356 (0.674)";"-1.673 (0.919)";"0.015 (0.991)";""
"33";"&nbsp;&nbsp;&nbsp;Range";"-1.466 - 2.135";"-1.337 - 2.272";"-0.831 - 2.858";"-1.364 - 1.863";"-6.848 - -0.438";"-6.848 - 2.858";""
"34";"**pca_socpref_nointeract**";"";"";"";"";"";"";"< 0.001"
"35";"&nbsp;&nbsp;&nbsp;Mean (SD)";"0.294 (0.593)";"-1.282 (0.679)";"-0.331 (0.810)";"0.809 (0.882)";"-0.001 (0.895)";"-0.005 (0.991)";""
"36";"&nbsp;&nbsp;&nbsp;Range";"-1.633 - 2.592";"-2.450 - 0.855";"-2.213 - 1.542";"-1.978 - 3.864";"-2.325 - 2.398";"-2.450 - 3.864";""
"37";"**pca_riskpref**";"";"";"";"";"";"";"< 0.001"
"38";"&nbsp;&nbsp;&nbsp;Mean (SD)";"-0.460 (0.743)";"0.372 (0.995)";"0.105 (0.958)";"0.465 (1.077)";"0.034 (1.019)";"0.002 (0.997)";""
"39";"&nbsp;&nbsp;&nbsp;Range";"-2.284 - 2.391";"-2.041 - 3.442";"-2.187 - 4.153";"-1.967 - 3.490";"-2.835 - 2.565";"-2.835 - 4.153";""
"40";"**gpa_i**";"";"";"";"";"";"";"< 0.001"
"41";"&nbsp;&nbsp;&nbsp;Mean (SD)";"4.475 (0.446)";"4.588 (0.398)";"4.613 (0.435)";"4.569 (0.398)";"4.437 (0.441)";"4.528 (0.432)";""
"42";"&nbsp;&nbsp;&nbsp;Range";"1.700 - 5.000";"2.700 - 5.000";"1.700 - 5.000";"3.400 - 5.000";"3.000 - 5.000";"1.700 - 5.000";""
"43";"**female**";"";"";"";"";"";"";"< 0.001"
"44";"&nbsp;&nbsp;&nbsp;";"1 (0.3%)";"0 (0.0%)";"1 (0.6%)";"0 (0.0%)";"0 (0.0%)";"2 (0.2%)";""
"45";"&nbsp;&nbsp;&nbsp;female";"258 (70.3%)";"68 (42.2%)";"78 (44.3%)";"87 (46.3%)";"92 (64.3%)";"583 (56.3%)";""
"46";"&nbsp;&nbsp;&nbsp;male";"108 (29.4%)";"93 (57.8%)";"97 (55.1%)";"101 (53.7%)";"51 (35.7%)";"450 (43.5%)";""
"47";"**pared_d3**";"";"";"";"";"";"";"< 0.001"
"48";"&nbsp;&nbsp;&nbsp;Mean (SD)";"0.447 (0.498)";"0.571 (0.496)";"0.636 (0.482)";"0.569 (0.497)";"0.441 (0.498)";"0.520 (0.500)";""
"49";"&nbsp;&nbsp;&nbsp;Range";"0.000 - 1.000";"0.000 - 1.000";"0.000 - 1.000";"0.000 - 1.000";"0.000 - 1.000";"0.000 - 1.000";""
"50";"**age**";"";"";"";"";"";"";"0.686"
"51";"&nbsp;&nbsp;&nbsp;Mean (SD)";"201.550 (13.290)";"203.130 (12.949)";"201.744 (13.340)";"202.878 (14.003)";"202.273 (14.468)";"202.170 (13.535)";""
"52";"&nbsp;&nbsp;&nbsp;Range";"174.000 - 241.000";"174.000 - 240.000";"176.000 - 233.000";"177.000 - 239.000";"178.000 - 247.000";"174.000 - 247.000";""
"53";"**math**";"";"";"";"";"";"";"< 0.001"
"54";"&nbsp;&nbsp;&nbsp;Mean (SD)";"-0.356 (0.825)";"0.278 (0.996)";"0.383 (1.003)";"0.327 (1.031)";"-0.290 (0.970)";"0.001 (1.000)";""
"55";"&nbsp;&nbsp;&nbsp;Range";"-2.490 - 2.183";"-2.165 - 2.408";"-1.822 - 2.903";"-2.216 - 2.598";"-2.459 - 2.880";"-2.490 - 2.903";""
"56";"**read**";"";"";"";"";"";"";"< 0.001"
"57";"&nbsp;&nbsp;&nbsp;Mean (SD)";"-0.251 (0.942)";"0.126 (1.006)";"0.304 (0.939)";"0.264 (1.027)";"-0.177 (0.995)";"0.006 (1.002)";""
"58";"&nbsp;&nbsp;&nbsp;Range";"-2.408 - 2.084";"-2.393 - 2.730";"-2.322 - 2.730";"-2.633 - 2.023";"-2.643 - 2.471";"-2.643 - 2.730";""
