studid;classid;schoolid;delta;delta_now;beta;dictator;dictator_schoolmate;risk;publicgood;trust;trust_return;comp;pca_socpref_interact;pca_timepref;pca_socpref_nointeract;pca_riskpref;math;read;age;kmeans_cluster;hierarchical_cluster;gpa_i;female;pared_d3
3;20;3;0,5780347;0,64935064;1,1233766;50;25;11;50;30;16,666668;0;-1,197560399;-0,622427363;-0,168383328;-0,618422114;-1,2482339;-1,9326221;183;4;1;4,4000001;male;0
4;13;2;0,86206895;0,89285713;1,0357143;0;0;45;60;50;0;0;-1,303400444;0,215054304;-1,206446928;0,509841701;0,82969415;0,6193732;186;4;1;4,5255127;male;0
5;12;2;0,89285713;0,97087377;1,0873786;50;25;25;100;50;27,976191;1;0,054121112;0,588820128;0,182862966;-1,171390619;1,6584423;1,5817468;187;1;1;5;female;1
6;8;2;0,94339621;0,94339621;1;50;0;40;100;80;19,537037;1;0,180039778;0,682463621;0,093039038;-0,296853011;1,6584423;1,5817468;199;1;1;5;female;1
7;48;8;0,81967211;0,80000001;0,97600001;50;50;33;100;50;50;0;0,365778435;0,472364076;0,838245418;-0,567607154;1,0447443;0,3604123;222;2;2;5;male;0
8;6;2;0,59171599;0,75757575;1,280303;50;20;13;50;60;28,683863;1;-0,065190017;-0,732278512;0,340877478;-1,24641277;-0,07685037;-0,11579431;199;3;1;5;female;1
9;44;7;0,75757575;0,5780347;0,76300579;30;25;23;50;30;33,333336;1;-0,716068282;-0,068604082;-0,929526689;-0,521238255;-0,80968767;-1,8063054;200;4;1;4;male;0
10;41;7;0,49504951;0,75757575;1,530303;50;0;20;50;40;13,58664;0;-1,412223847;-0,327149588;-0,557439234;-0,356477398;-1,0591898;-1,3169743;202;4;1;3,9000001;male;0
11;27;5;0,60606062;0,7352941;1,2132353;50;50;12;60,5;60;33,741535;1;-0,181919632;-0,72359111;0,986834402;-0,550856012;-2,0536435;-1,661006;216;3;2;4,5999999;female;1
12;30;5;0,59171599;0,77519381;1,3100774;50;50;36;50;50;30,496031;0;-0,760243204;-0,723725118;0,675646676;0,27423528;-0,34869155;0,60097665;190;3;3;4,3000002;female;0
13;44;7;0,69930071;0,63291138;0,90506327;25;25;41;50;50;41,763229;1;-0,119357936;-0,172294293;-1,110329574;0,485231569;0,13764396;0,34810898;202;4;1;4,5;male;0
14;27;5;0,97087377;0,97087377;1;50;0;1;0;50;33,333336;1;-1,549358131;1,293713839;-0,281468821;-1,108532224;-0,89315128;-0,58040065;225;1;3;4,8000002;female;0
15;16;3;0,77519381;0,71942449;0,92805755;25;10;5;65;40;29,203043;1;0,50574321;-0,193972652;-1,378870171;-1,290245939;-1,0905306;-0,44939691;194;4;1;4,5999999;female;0
16;26;5;0,7352941;0,80000001;1,0880001;50;25;25;55,5;50;53,149475;1;0,186969845;0,171934985;-0,007865722;-0,332684137;-0,98695111;-2,0715938;192;1;1;4,3000002;female;0
17;44;7;0,66666669;0,71942449;1,0791366;50;0;50;100;50;39,763226;0;0,99693565;-0,035643649;-1,066528323;0,851460371;-0,63542461;-1,2162023;202;5;3;4,1999998;male;0
18;30;5;0,81967211;0,81967211;1;50;0;10;80;50;52,132278;0;1,240828605;0,288424719;-1,063452242;-1,94884202;-0,48038882;-0,41916513;195;1;1;4,5255127;male;0
19;5;2;0,81967211;0,75757575;0,92424244;50;25;49;100;100;50;0;1,531606907;0,484171063;0,234502368;0,479020699;0,061848447;0,26737404;196;2;2;4,9000001;male;1
20;11;2;0,89285713;0,89285713;1;50;25;15;50;90;54,645504;1;1,260065584;1,387196704;-0,038198735;-0,948581243;0,061848447;0,26737404;184;2;3;4,9000001;male;1
21;50;9;0,80000001;0,81967211;1,0245901;25;0;19;50;50;29,958996;1;-0,411054434;0,069571293;-1,068764578;-0,775156408;-0,67410004;-1,5315253;205;4;1;4,0999999;male;1
22;39;6;0,81967211;0,91743118;1,119266;15;10;5;30;60;56,362431;1;0,101568722;1,234438183;-1,726337668;-1,653971278;-0,19510026;0,007007019;203;4;1;4,3000002;male;1
23;29;5;0,94339621;0,89285713;0,9464286;50;50;10;50;50;44,687832;0;-0,898878511;1,681797317;1,242991836;-1,182582406;-1,8591537;0,38759747;241;1;3;4;female;0
24;22;4;0,81967211;0,75757575;0,92424244;50;35;24;75;70;30,552908;1;0,349033499;0,650581604;0,549979407;0,472043724;-0,59919387;-0,047597669;188;2;2;4,4000001;female;1
25;21;3;0,60606062;0,97087377;1,6019417;25;25;22;30;50;17,608467;0;-0,935280407;0,493662738;-1,005851391;-0,199961753;-0,47816575;-0,46509868;185;4;1;4,3000002;female;0
26;1;1;0,49504951;0,49504951;1;50;25;21;75;60;50;1;1,253122409;-1,583293229;-0,039695108;-0,473030908;-0,45082605;0,060322441;207;3;2;3,9000001;male;1
27;48;8;0,89285713;0,89285713;1;0;0;32;100;100;36,666668;0;1,128577567;1,142088395;-2,344039916;-0,023160407;0,91671395;0,63437188;217;5;1;5;male;1
28;34;6;0,64935064;0,69930071;1,0769231;50;5;50;40;30;40,332012;0;-0,881882207;-0,64374896;-0,296543081;0,331486096;-0,13264072;0,72401232;232;3;1;4,9000001;female;1
