Var.1;Cluster 1 N=237;Cluster 2 N=131;Total.N=368;p.value
**data.patient_choicesOffspringMean**;;;;0.144
Mean (SD);2.639 (1.850);2.935 (1.869);2.745 (1.859);
Range;0.000 - 6.000;0.000 - 6.000;0.000 - 6.000;
**data.patient_choices_father**;;;;0.036
Mean (SD);6.397 (6.981);8.023 (7.336);6.976 (7.142);
Range;0.000 - 18.000;0.000 - 18.000;0.000 - 18.000;
**data.patient_choices_mother**;;;;0.049
Mean (SD);7.422 (6.958);8.916 (6.939);7.954 (6.979);
Range;0.000 - 18.000;0.000 - 18.000;0.000 - 18.000;
**data.binswangerOffspringMean**;;;;0.041
Mean (SD);4.000 (1.477);3.660 (1.597);3.879 (1.527);
Range;1.000 - 6.000;1.000 - 6.000;1.000 - 6.000;
**data.binswanger_father**;;;;0.746
Mean (SD);3.983 (1.739);3.924 (1.572);3.962 (1.680);
Range;1.000 - 6.000;1.000 - 6.000;1.000 - 6.000;
**data.binswanger_mother**;;;;0.305
Mean (SD);3.992 (1.712);3.802 (1.680);3.924 (1.701);
Range;1.000 - 6.000;1.000 - 6.000;1.000 - 6.000;
**data.spitefulOffspringMean**;;;;0.228
Mean (SD);0.236 (0.392);0.187 (0.342);0.219 (0.375);
Range;0.000 - 1.000;0.000 - 1.000;0.000 - 1.000;
**data.spiteful_father**;;;;0.004
Mean (SD);0.249 (0.433);0.122 (0.329);0.204 (0.403);
Range;0.000 - 1.000;0.000 - 1.000;0.000 - 1.000;
**data.spiteful_mother**;;;;0.047
Mean (SD);0.241 (0.428);0.153 (0.361);0.209 (0.407);
Range;0.000 - 1.000;0.000 - 1.000;0.000 - 1.000;
**data.altruisticOffspringMean**;;;;0.686
Mean (SD);0.068 (0.200);0.076 (0.201);0.071 (0.200);
Range;0.000 - 1.000;0.000 - 1.000;0.000 - 1.000;
**data.altruistic_father**;;;;0.167
Mean (SD);0.084 (0.279);0.130 (0.337);0.101 (0.301);
Range;0.000 - 1.000;0.000 - 1.000;0.000 - 1.000;
**data.altruistic_mother**;;;;0.416
Mean (SD);0.055 (0.228);0.076 (0.267);0.062 (0.242);
Range;0.000 - 1.000;0.000 - 1.000;0.000 - 1.000;
**data.egalitarianOffspringMean**;;;;0.892
Mean (SD);0.169 (0.317);0.164 (0.307);0.167 (0.313);
Range;0.000 - 1.000;0.000 - 1.000;0.000 - 1.000;
**data.egalitarian_father**;;;;0.553
Mean (SD);0.203 (0.403);0.229 (0.422);0.212 (0.409);
Range;0.000 - 1.000;0.000 - 1.000;0.000 - 1.000;
**data.egalitarian_mother**;;;;0.899
Mean (SD);0.080 (0.272);0.084 (0.278);0.082 (0.274);
Range;0.000 - 1.000;0.000 - 1.000;0.000 - 1.000;
**data.selfishOffspringMean**;;;;0.734
Mean (SD);0.272 (0.381);0.286 (0.382);0.277 (0.381);
Range;0.000 - 1.000;0.000 - 1.000;0.000 - 1.000;
**data.selfish_father**;;;;0.635
Mean (SD);0.283 (0.451);0.260 (0.440);0.274 (0.447);
Range;0.000 - 1.000;0.000 - 1.000;0.000 - 1.000;
**data.selfish_mother**;;;;0.180
Mean (SD);0.342 (0.475);0.412 (0.494);0.367 (0.483);
Range;0.000 - 1.000;0.000 - 1.000;0.000 - 1.000;
