"";"Var.1";"X1..N.448.";"X2..N.141.";"X3..N.334.";"X4..N.27.";"X5..N.38.";"X6..N.31.";"X7..N.16.";"Total..N.1035.";"p.value"
"1";"**delta**";"";"";"";"";"";"";"";"";"< 0.001"
"2";"&nbsp;&nbsp;&nbsp;Mean (SD)";"0.685 (0.134)";"0.735 (0.160)";"0.826 (0.119)";"0.489 (0.075)";"0.866 (0.095)";"0.817 (0.120)";"0.900 (0.111)";"0.746 (0.153)";""
"3";"&nbsp;&nbsp;&nbsp;Range";"0.333 - 0.971";"0.333 - 0.971";"0.485 - 0.971";"0.333 - 0.606";"0.699 - 0.971";"0.633 - 0.971";"0.667 - 0.971";"0.333 - 0.971";""
"4";"**beta**";"";"";"";"";"";"";"";"";"< 0.001"
"5";"&nbsp;&nbsp;&nbsp;Mean (SD)";"1.027 (0.185)";"1.042 (0.188)";"1.004 (0.157)";"1.796 (0.287)";"0.938 (0.123)";"0.854 (0.182)";"0.839 (0.224)";"1.031 (0.222)";""
"6";"&nbsp;&nbsp;&nbsp;Range";"0.463 - 1.582";"0.534 - 1.858";"0.343 - 1.526";"1.523 - 2.913";"0.640 - 1.179";"0.417 - 1.087";"0.343 - 1.000";"0.343 - 2.913";""
"7";"**dictator**";"";"";"";"";"";"";"";"";"< 0.001"
"8";"&nbsp;&nbsp;&nbsp;Mean (SD)";"43.821 (11.958)";"14.986 (15.986)";"41.000 (14.603)";"43.943 (12.859)";"64.499 (22.584)";"45.565 (14.687)";"2.250 (6.554)";"39.154 (18.196)";""
"9";"&nbsp;&nbsp;&nbsp;Range";"0.000 - 75.000";"0.000 - 50.000";"0.000 - 62.500";"21.450 - 75.000";"25.000 - 100.000";"0.000 - 75.000";"0.000 - 25.000";"0.000 - 100.000";""
"10";"**dictator_schoolmate**";"";"";"";"";"";"";"";"";"< 0.001"
"11";"&nbsp;&nbsp;&nbsp;Mean (SD)";"31.437 (17.436)";"9.458 (12.587)";"25.747 (17.942)";"30.741 (19.150)";"64.592 (21.532)";"32.065 (20.732)";"5.375 (13.572)";"27.422 (20.215)";""
"12";"&nbsp;&nbsp;&nbsp;Range";"0.000 - 100.000";"0.000 - 50.000";"0.000 - 50.000";"0.000 - 75.000";"40.000 - 100.000";"0.000 - 75.000";"0.000 - 50.000";"0.000 - 100.000";""
"13";"**risk**";"";"";"";"";"";"";"";"";"< 0.001"
"14";"&nbsp;&nbsp;&nbsp;Mean (SD)";"26.179 (14.812)";"33.057 (15.823)";"39.817 (15.686)";"29.889 (18.398)";"29.237 (15.761)";"71.129 (22.530)";"63.438 (22.949)";"33.648 (18.471)";""
