;studid;classid;delta;beta;beta_0;dictator;dictator_schoolmate;risk;publicgood;trust;trust_return;mean_delta;mean_beta;mean_beta_0;mean_dictator;mean_dictator_schoolmate;mean_risk;mean_publicgood;mean_trust;mean_trust_return;sd_delta;sd_beta;sd_beta_0;sd_dictator;sd_dictator_schoolmate;sd_risk;sd_publicgood;sd_trust;sd_trust_return;delta_diff;beta_diff;beta_0_diff;dictator_diff;dictator_schoolmate_diff;risk_diff;publicgood_diff;trust_diff;trust_return_diff
1;1;13;0,69930071;1,1721312;0,17213118;50;50;45;75;80;28,95635;0,836248584;1,087574583;0,108947332;34,65000008;19,91153846;41,19230769;81,19615377;70,76923077;35,1147809;0,15865492;0,228730261;0,218973309;23,36452012;22,28000138;15,77090798;24,99408704;33,57654859;21,79900095;3,57143514;4,036938445;0,677135595;-32,5100032;-17,66737343;-38,33895264;-78,19544405;-68,38661542;-33,78644709
2;2;12;0,62111801;1;0;0;10;49;50;30;29,093916;0,877430207;0,965927545;0,073460906;32,51607146;24,83928571;38,67857143;74,46428571;69,28571429;36,75300055;0,127995701;0,115677337;0,094809286;25,24215705;29,00320977;12,27781369;35,88405417;34,52627249;24,69817127;3,975217215;7,678808119;-0,073460906;-32,51607146;-24,49449629;-34,68763288;-73,07090915;-68,41681076;-35,575022
3;3;20;0,5780347;1,1233766;0,12337661;50;25;11;50;30;16,666668;0,666232606;1,087778422;0,113895856;48,07692308;34,30769231;23,38461538;61,91923085;51,15384615;39,65572973;0,130592327;0,138786627;0,117404552;16,6779449;17,27314501;14,36684217;25,4952862;22,50811819;15,84157751;3,760020537;7,006492801;0,936971486;-45,07895179;-32,86035889;-22,61896348;-59,958084;-49,82099373;-38,60364587
4;4;13;0,86206895;1,0357143;0,035714269;0;0;45;60;50;0;0,836248584;1,087574583;0,108947332;34,65000008;19,91153846;41,19230769;81,19615377;70,76923077;35,1147809;0,15865492;0,228730261;0,218973309;23,36452012;22,28000138;15,77090798;24,99408704;33,57654859;21,79900095;4,597361344;3,440528946;0,0541514;-34,65000008;-19,91153846;-38,33895264;-78,79558599;-69,28009618;-35,1147809
5;5;12;0,89285713;1,0873786;0,087378621;50;25;25;100;50;27,976191;0,877430207;0,965927545;0,073460906;32,51607146;24,83928571;38,67857143;74,46428571;69,28571429;36,75300055;0,127995701;0,115677337;0,094809286;25,24215705;29,00320977;12,27781369;35,88405417;34,52627249;24,69817127;6,098250389;8,434173019;0,848164226;-30,53525818;-23,97731215;-36,64237829;-71,67753259;-67,83754174;-35,62027738
6;6;8;0,94339621;1;0;50;0;40;100;80;19,537037;0,854829258;1,052000263;0,082520511;27,15517241;11,46551724;47,55172414;75,93793107;72,06896552;31,68219859;0,128504468;0,219903069;0,210012199;22,81255272;19,74748222;14,02443329;33,69417513;34,78292996;18,09340501;6,486520219;3,495457864;-0,082520511;-24,96339666;-11,46551724;-44,69955898;-72,97005904;-69,76898676;-30,60241084
7;7;48;0,81967211;0,97600001;0,023999989;50;50;33;100;50;50;0,741336557;1,04582137;0,179777305;39,44;25,5;37,84;71,68799992;68;43,57871556;0,146295772;0,309490296;0,253583872;16,6966314;19,33800231;16,10558909;30,41722818;26,45751311;10,88081796;4,861505535;2,107750886;-0,085134105;-36,44538397;-22,91441752;-35,79102186;-68,40038938;-66,11017763;-38,98347279
8;8;6;0,59171599;1,280303;0,280303;50;20;13;50;60;28,683863;0,78204045;0,971589995;0,134218011;36,53095248;25,23809524;34,52380952;55,95238095;58,0952381;31,9780743;0,143179648;0,195227615;0,141584288;17,43007087;20,71992944;16,63916779;34,04478843;31,72050561;17,09632994;3,350641809;5,586411549;1,84554263;-33,66234681;-24,27284099;-33,74252045;-54,48372738;-56,20371717;-30,30029532
9;9;44;0,75757575;0,76300579;0,23699421;30;25;23;50;30;33,333336;0,717848677;0,92083203;0,13196502;43,86363636;31,13636364;32,40909091;54,11818173;54,09090909;45,38922059;0,105536252;0,160694621;0,118931669;11,53997382;19,6960123;16,28221083;23,73178775;20,62340116;15,85496732;6,460497485;3,82734054;1,860727184;-41,26397709;-29,86707117;-30,99650633;-52,01130295;-52,63625087;-43,28682988
10;10;41;0,49504951;1,530303;0,530303;50;0;20;50;40;13,58664;0,668788035;1,062543474;0,215549468;45,53571429;27,14285714;27,5;56,78571429;47,85714286;40,59042079;0,168221214;0,321558736;0,239952211;9,102967153;17,72810521;14,25455393;17,71647895;6,992932068;13,64279395;2,274060244;3,696471993;1,994486429;-40,04299975;-27,14285714;-26,09693961;-53,96348307;-42,13708157;-39,5945368
11;11;27;0,60606062;1,2132353;0,21323526;50;50;12;60,5;60;33,741535;0,775647526;1,021077385;0,033220274;45,44117647;28,52941176;26,29411765;60,61764706;57,64705882;36,58583947;0,17914164;0,061988536;0,056053893;13,17654445;16,93412844;21,02904154;23,57668963;26,34611256;13,60053623;2,60748896;18,55085296;3,770891262;-41,64655488;-25,5767945;-25,72347823;-58,05155314;-55,36968299;-34,10494207
12;12;30;0,59171599;1,3100774;0,31007743;50;50;36;50;50;30,496031;0,760891343;1,071259802;0,105246918;47,16666667;34,5;33,96666667;63,18666667;50;39,34215233;0,156560525;0,156498559;0,135225681;19,194258;24,08139932;13,42021978;19,34818415;23,48880878;16,26462637;3,01857983;7,299918849;2,187789634;-44,56172096;-32,4237087;-31,28414726;-60,60244483;-47,8713267;-37,46716115
13;13;44;0,69930071;0,90506327;0,094936728;25;25;41;50;50;41,763229;0,717848677;0,92083203;0,13196502;43,86363636;31,13636364;32,40909091;54,11818173;54,09090909;45,38922059;0,105536252;0,160694621;0,118931669;11,53997382;19,6960123;16,28221083;23,73178775;20,62340116;15,85496732;5,908317179;4,711361918;0,66628097;-41,69725363;-29,86707117;-29,89100535;-52,01130295;-51,66647873;-42,75514206
